pickup_date,service,in_crz,trips,fare_sum,tip_sum,distance_sum
2024-01-01,hvfhs,false,439789,11151018.2600,371581.0000,2373954.8190
2024-01-01,hvfhs,true,198617,7016770.4600,288617.4800,1206598.4230
2024-01-01,yellow,false,22205,571322.1100,83529.0200,144997.6800
2024-01-01,yellow,true,58808,1193790.8400,180755.6200,211201.4100
2024-01-02,hvfhs,false,334850,7403317.8800,265085.9000,1644850.7620
2024-01-02,hvfhs,true,143404,4368066.0500,224457.9400,849251.5430
2024-01-02,yellow,false,23658,581065.4200,91551.5600,123909.1400
2024-01-02,yellow,true,51861,1002347.0000,174307.8200,187155.9300
2024-01-03,hvfhs,false,346771,7460186.5300,266792.3300,1624475.0530
2024-01-03,hvfhs,true,151561,4546259.5800,245989.5800,856486.8370
2024-01-03,yellow,false,25032,576659.2800,90046.6000,118898.3200
2024-01-03,yellow,true,57395,1044187.1100,187478.0000,200786.5900
2024-01-04,hvfhs,false,387316,8110227.5500,285052.1200,1752113.5880
2024-01-04,hvfhs,true,185316,5480578.6600,294263.6300,1002397.3950
2024-01-04,yellow,false,31116,623121.9700,102145.7900,121788.3800
2024-01-04,yellow,true,71785,1272449.6100,237613.3100,218913.6400
2024-01-05,hvfhs,false,445524,9299870.4100,318177.0400,1973076.8660
2024-01-05,hvfhs,true,211130,5826609.2000,300813.1200,1063317.4980
2024-01-05,yellow,false,31559,598161.8000,100542.1800,173084.3900
2024-01-05,yellow,true,71619,1241755.2100,232814.5400,214199.0100
2024-01-06,hvfhs,false,445380,8886037.2000,340652.6100,2014019.3880
2024-01-06,hvfhs,true,263648,6535414.1300,326177.6000,1225524.3700
2024-01-06,yellow,false,27694,537211.9200,89913.1800,107198.2300
2024-01-06,yellow,true,69423,1143929.3300,205533.0200,196372.7400
2024-01-07,hvfhs,false,357383,7378538.0100,271451.7100,1778395.9510
2024-01-07,hvfhs,true,185384,4837894.1600,234627.6800,1010884.9020
2024-01-07,yellow,false,20738,478631.3000,79494.9500,102415.6300
2024-01-07,yellow,true,46805,835281.2300,156885.1400,159913.7200
2024-01-08,hvfhs,false,359131,7597367.1900,277560.4800,1680803.8260
2024-01-08,hvfhs,true,160463,4724484.3600,263703.8200,907460.1000
2024-01-08,yellow,false,26431,536513.6900,86392.6400,106687.4500
2024-01-08,yellow,true,53603,960002.5400,186666.2600,174336.4500
2024-01-09,hvfhs,false,414585,8318972.4000,306146.6300,1691285.8240
2024-01-09,hvfhs,true,209772,5916209.2400,336100.2400,980831.9070
2024-01-09,yellow,false,28213,506672.4100,82748.5600,92796.1600
2024-01-09,yellow,true,65749,1081122.0400,204008.6000,267310.4100
2024-01-10,hvfhs,false,371758,7895725.3300,297510.2200,1706695.4540
2024-01-10,hvfhs,true,195500,5958623.3900,342548.5700,1079121.9120
2024-01-10,yellow,false,28181,541684.3100,90599.1500,118844.6900
2024-01-10,yellow,true,66819,1160776.6500,233045.8300,199487.4200
2024-01-11,hvfhs,false,392022,8648528.1300,328211.2600,1842823.8810
2024-01-11,hvfhs,true,216254,6989199.8900,392859.6600,1244960.7140
2024-01-11,yellow,false,29667,587686.6300,100861.4200,146938.9500
2024-01-11,yellow,true,75343,1360946.3400,270082.4900,229882.6600
2024-01-12,hvfhs,false,451388,9877569.3200,361495.7600,2093453.0970
2024-01-12,hvfhs,true,232201,6949132.0600,372897.5000,1258016.9780
2024-01-12,yellow,false,30042,579631.5900,99915.4000,111141.7500
2024-01-12,yellow,true,73613,1342996.5900,261056.3600,327346.2300
2024-01-13,hvfhs,false,465578,9647326.4400,362376.3800,2156234.0040
2024-01-13,hvfhs,true,287129,7822443.7700,400277.7800,1389591.8930
2024-01-13,yellow,false,24866,450489.6000,77215.5400,130187.7000
2024-01-13,yellow,true,79892,1359330.4400,260334.6400,264771.6700
2024-01-14,hvfhs,false,425940,9428145.4900,352665.5300,2061393.4490
2024-01-14,hvfhs,true,257873,7144687.4000,381715.3100,1273700.7060
2024-01-14,yellow,false,23702,498249.7900,82322.7000,102802.5600
2024-01-14,yellow,true,70718,1189061.7800,225850.8400,209973.1300
2024-01-15,hvfhs,false,358775,7547788.5500,297743.7500,1769045.9680
2024-01-15,hvfhs,true,200475,5417534.7100,315514.3200,1034602.5080
2024-01-15,yellow,false,22676,509726.2000,86885.3200,106502.2700
2024-01-15,yellow,true,54357,976857.0800,192478.5500,180945.7300
2024-01-16,hvfhs,false,398538,8556735.0800,334938.2900,1755258.6360
2024-01-16,hvfhs,true,218012,6889283.0900,412231.7600,1134897.3460
2024-01-16,yellow,false,28493,577283.5300,95888.1900,109458.9400
2024-01-16,yellow,true,64564,1206807.3700,236474.6500,236288.7000
2024-01-17,hvfhs,false,437262,9273594.9100,354777.3200,1884981.6320
2024-01-17,hvfhs,true,242495,7938301.9600,463728.1300,1304157.5480
2024-01-17,yellow,false,31221,589438.0700,97951.9800,108738.6400
2024-01-17,yellow,true,79144,1419640.4700,271915.4500,314341.7400
2024-01-18,hvfhs,false,434705,9205092.7600,345726.4100,1920729.5160
2024-01-18,hvfhs,true,249237,7999139.0200,452401.0300,1361499.1790
2024-01-18,yellow,false,31207,577539.8700,98037.9000,105843.0800
2024-01-18,yellow,true,79151,1397423.9800,272313.4900,226545.4400
2024-01-19,hvfhs,false,482345,9830594.1800,359924.0300,2115548.0800
2024-01-19,hvfhs,true,256265,6940437.5500,352821.1300,1261334.3340
2024-01-19,yellow,false,29154,522206.8500,90521.5400,97002.2900
2024-01-19,yellow,true,66797,1130177.7900,221199.7200,191947.4300
2024-01-20,hvfhs,false,504901,9875923.4500,382686.0800,2256297.2170
2024-01-20,hvfhs,true,319754,7982939.5000,377860.2500,1455694.6690
2024-01-20,yellow,false,28014,486940.7900,79860.8200,172396.1600
2024-01-20,yellow,true,80754,1311462.1800,238212.9400,212266.7500
2024-01-21,hvfhs,false,433510,8788318.8500,324683.7800,2107089.2320
2024-01-21,hvfhs,true,244327,6408519.9400,299968.3800,1289270.9270
2024-01-21,yellow,false,24397,492942.9300,83106.7700,100585.5300
2024-01-21,yellow,true,60105,1064490.4800,199185.2200,306374.5800
2024-01-22,hvfhs,false,383876,8082815.1000,296424.8100,1771281.2560
2024-01-22,hvfhs,true,187141,5474591.0000,312107.4300,1015059.1530
2024-01-22,yellow,false,27369,534957.7400,87648.6700,104321.4000
2024-01-22,yellow,true,58281,1052640.0800,208132.9600,186668.2400
2024-01-23,hvfhs,false,374318,7757391.0900,289040.2100,1666502.4970
2024-01-23,hvfhs,true,214201,6540945.6800,385687.0400,1139462.5350
2024-01-23,yellow,false,28213,510706.2400,87083.9000,94371.7100
2024-01-23,yellow,true,71678,1255087.0000,248718.7800,202606.1100
2024-01-24,hvfhs,false,391426,8208653.4500,315690.6900,1732884.1970
2024-01-24,hvfhs,true,230307,7189240.5000,422749.5400,1231574.1800
2024-01-24,yellow,false,28866,523030.9800,91066.5700,152550.2000
2024-01-24,yellow,true,76254,1339293.8100,269442.1200,216653.7500
2024-01-25,hvfhs,false,409227,8927722.4400,341436.4300,1874567.6120
2024-01-25,hvfhs,true,243744,7849410.4200,446276.4600,1354362.3060
2024-01-25,yellow,false,29297,558736.2500,96932.2400,104265.5600
2024-01-25,yellow,true,81021,1456050.2600,286446.7400,334706.4100
2024-01-26,hvfhs,false,463419,9903702.8700,365946.4200,2112585.6090
2024-01-26,hvfhs,true,251963,7293629.1700,379066.0800,1301514.2860
2024-01-26,yellow,false,30732,566502.4400,100020.3600,105691.4700
2024-01-26,yellow,true,75072,1318439.3400,254358.0500,252024.1600
2024-01-27,hvfhs,false,460846,9439987.5800,359108.7000,2173179.6020
2024-01-27,hvfhs,true,291348,7822729.6100,367272.2500,1429165.4910
2024-01-27,yellow,false,26124,452415.7400,77687.0600,86688.8000
2024-01-27,yellow,true,84391,1406092.3400,264406.9900,225509.3400
2024-01-28,hvfhs,false,441551,9144386.4300,337380.6500,2127355.1510
2024-01-28,hvfhs,true,261261,7072587.4200,328521.1800,1356498.2900
2024-01-28,yellow,false,24944,510490.1300,84721.2500,103324.7600
2024-01-28,yellow,true,67893,1167050.5400,213139.3000,205845.3900
2024-01-29,hvfhs,false,370646,7856536.2000,291350.6700,1737191.8710
2024-01-29,hvfhs,true,180271,5334405.7300,303947.5400,1001604.0020
2024-01-29,yellow,false,26843,529993.9400,89548.8200,103740.2300
2024-01-29,yellow,true,57704,1037832.8900,206890.3400,183372.5300
2024-01-30,hvfhs,false,371824,7706140.0800,285435.7600,1637462.6850
2024-01-30,hvfhs,true,210932,6550940.1100,384787.1900,1138028.2500
2024-01-30,yellow,false,28196,505391.0700,86625.4500,94813.4700
2024-01-30,yellow,true,73037,1249414.9200,252847.2000,515284.0000
2024-01-31,hvfhs,false,389677,8219918.0700,310070.6100,1750316.6750
2024-01-31,hvfhs,true,219684,6883794.5000,402352.7600,1202902.8140
2024-01-31,yellow,false,28243,506699.6900,87499.1500,93650.4300
2024-01-31,yellow,true,73877,1283081.1400,258608.1100,228579.2700
2024-12-01,hvfhs,false,416169,9365856.5500,332529.5700,2177061.7780
2024-12-01,hvfhs,true,206540,6390286.1700,304886.6500,1236463.3470
2024-12-01,yellow,false,26722,681468.3300,113645.6900,148189.6300
2024-12-01,yellow,true,68916,1337430.9100,242261.0500,247530.8800
2024-12-02,hvfhs,false,405238,9463783.3100,355426.6800,1953299.0080
2024-12-02,hvfhs,true,202679,7032942.0700,414123.1500,1186801.5080
2024-12-02,yellow,false,34824,797466.5600,134124.6400,254423.9600
2024-12-02,yellow,true,77343,1560199.0000,297521.0900,274728.6100
2024-12-03,hvfhs,false,407422,9379621.9900,361568.2600,1878486.0160
2024-12-03,hvfhs,true,231660,8999278.7600,546470.7300,1328131.9390
2024-12-03,yellow,false,37010,760040.0700,127378.0600,146644.4100
2024-12-03,yellow,true,92253,1837067.8500,356230.5400,292686.9400
