ride_date,member_casual,rideable_type,rides,duration_seconds_sum
2024-01-01,casual,classic_bike,3017,6346839
2024-01-01,casual,electric_bike,8261,10749293
2024-01-01,member,classic_bike,13066,10674583
2024-01-01,member,electric_bike,22934,16001919
2024-01-02,casual,classic_bike,2227,3913929
2024-01-02,casual,electric_bike,6466,6832149
2024-01-02,member,classic_bike,23449,18380032
2024-01-02,member,electric_bike,36007,22782450
2024-01-03,casual,classic_bike,2158,3158456
2024-01-03,casual,electric_bike,6644,6409391
2024-01-03,member,classic_bike,25660,20611688
2024-01-03,member,electric_bike,42097,26486969
2024-01-04,casual,classic_bike,1953,2993440
2024-01-04,casual,electric_bike,6945,6266348
2024-01-04,member,classic_bike,25047,16713872
2024-01-04,member,electric_bike,43536,26497975
2024-01-05,casual,classic_bike,2006,3002645
2024-01-05,casual,electric_bike,7130,6525844
2024-01-05,member,classic_bike,22408,15646676
2024-01-05,member,electric_bike,40918,24626195
2024-01-06,casual,classic_bike,1550,2747152
2024-01-06,casual,electric_bike,4607,4423060
2024-01-06,member,classic_bike,13618,9207078
2024-01-06,member,electric_bike,23528,14223718
2024-01-07,casual,classic_bike,937,1454122
2024-01-07,casual,electric_bike,3386,2790652
2024-01-07,member,classic_bike,11435,7120094
2024-01-07,member,electric_bike,19920,11552365
2024-01-08,casual,classic_bike,1871,3061606
2024-01-08,casual,electric_bike,6394,5756759
2024-01-08,member,classic_bike,27055,20300423
2024-01-08,member,electric_bike,43166,26527663
2024-01-09,casual,classic_bike,731,933413
2024-01-09,casual,electric_bike,2847,2069642
2024-01-09,member,classic_bike,14434,10730467
2024-01-09,member,electric_bike,25031,14595203
2024-01-10,casual,classic_bike,1902,2812565
2024-01-10,casual,electric_bike,5926,5202236
2024-01-10,member,classic_bike,28527,22294117
2024-01-10,member,electric_bike,45322,30445975
2024-01-11,casual,classic_bike,2221,2985307
2024-01-11,casual,electric_bike,7147,6447028
2024-01-11,member,classic_bike,30233,22186251
2024-01-11,member,electric_bike,49590,31850837
2024-01-12,casual,classic_bike,2634,3846296
2024-01-12,casual,electric_bike,8199,7916297
2024-01-12,member,classic_bike,27487,20477942
2024-01-12,member,electric_bike,47793,31177557
2024-01-13,casual,classic_bike,3155,5154448
2024-01-13,casual,electric_bike,7574,7913087
2024-01-13,member,classic_bike,20532,15471265
2024-01-13,member,electric_bike,32616,21717057
2024-01-14,casual,classic_bike,1967,2478474
2024-01-14,casual,electric_bike,5036,4543767
2024-01-14,member,classic_bike,16386,10475979
2024-01-14,member,electric_bike,25512,14883129
2024-01-15,casual,classic_bike,1174,1562173
2024-01-15,casual,electric_bike,3397,2649458
2024-01-15,member,classic_bike,16365,11037813
2024-01-15,member,electric_bike,24632,13600975
2024-01-16,casual,classic_bike,297,462260
2024-01-16,casual,electric_bike,1462,1212850
2024-01-16,member,classic_bike,8772,7212601
2024-01-16,member,electric_bike,16836,9946114
2024-01-17,casual,classic_bike,472,718459
2024-01-17,casual,electric_bike,2234,1789140
2024-01-17,member,classic_bike,14025,10203779
2024-01-17,member,electric_bike,26061,14911434
2024-01-18,casual,classic_bike,653,793340
2024-01-18,casual,electric_bike,3379,2704704
2024-01-18,member,classic_bike,18119,12485666
2024-01-18,member,electric_bike,33391,19339183
2024-01-19,casual,classic_bike,567,578245
2024-01-19,casual,electric_bike,2799,1945046
2024-01-19,member,classic_bike,13478,8444769
2024-01-19,member,electric_bike,27211,15013254
2024-01-20,casual,classic_bike,798,1622463
2024-01-20,casual,electric_bike,2939,2165580
2024-01-20,member,classic_bike,11680,7626369
2024-01-20,member,electric_bike,21802,11636518
2024-01-21,casual,classic_bike,836,1336386
2024-01-21,casual,electric_bike,2887,2306145
2024-01-21,member,classic_bike,12136,8048859
2024-01-21,member,electric_bike,20458,11150648
2024-01-22,casual,classic_bike,937,1267043
2024-01-22,casual,electric_bike,3865,3000647
2024-01-22,member,classic_bike,21192,13456659
2024-01-22,member,electric_bike,35073,19778440
2024-01-23,casual,classic_bike,1148,1526910
2024-01-23,casual,electric_bike,4430,3425732
2024-01-23,member,classic_bike,23984,16435543
2024-01-23,member,electric_bike,41098,24364750
2024-01-24,casual,classic_bike,1028,1439447
2024-01-24,casual,electric_bike,4341,3455097
2024-01-24,member,classic_bike,21554,14425531
2024-01-24,member,electric_bike,38989,22913852
2024-01-25,casual,classic_bike,1624,2317546
2024-01-25,casual,electric_bike,6216,5778162
2024-01-25,member,classic_bike,23658,16864256
2024-01-25,member,electric_bike,43429,27231916
2024-01-26,casual,classic_bike,1775,2421333
2024-01-26,casual,electric_bike,6592,5802396
2024-01-26,member,classic_bike,22480,15656902
2024-01-26,member,electric_bike,41516,25039971
2024-01-27,casual,classic_bike,4256,6496199
